name	tissue	gender	race	project	num_samples	median_PC	median_LNC	median_EB
Prostate-male-black_or_african_american_tcga	Prostate	male	black_or_african_american	tcga	58	4.7975545	1.998211	1.6289225
Brain_Cerebellum-female-white_gtex	Brain_Cerebellum	female	white	gtex	61	4.4037545	2.365487	1.8509945
Brain_Substantianigra-male-white_gtex	Brain_Substantianigra	male	white	gtex	89	3.204573	1.874886	1.6135835
Liver-female-white_tcga	Liver	female	white	tcga	81	4.320951	1.9062970000000001	1.710443
Adipose_Subcutaneous-male-unknown_gtex	Adipose_Subcutaneous	male	unknown	gtex	6	4.4697955	1.983043	1.6728200000000002
Testis-male-asian_tcga	Testis	male	asian	tcga	4	4.8645119999999995	1.9232040000000001	1.61998725
Cervix-female-native_hawaiian_or_other_pacific_islander_tcga	Cervix	female	native_hawaiian_or_other_pacific_islander	tcga	2	5.020689000000001	2.055987	1.62523975
WholeBlood-female-unknown_gtex	WholeBlood	female	unknown	gtex	1	2.6711685	1.9210280000000002	1.746429
Brain_Nucleusaccumbens_basalganglia_-male-american_indian_or_alaska_native_gtex	Brain_Nucleusaccumbens_basalganglia_	male	american_indian_or_alaska_native	gtex	1	2.194963	1.68525	1.457338
Brain_CerebellarHemisphere-male-black_or_african_american_gtex	Brain_CerebellarHemisphere	male	black_or_african_american	gtex	17	4.932888999999999	2.395061	1.8809509999999998
Testis--_tcga	Testis			tcga	17	4.6141155	1.93725	1.526635
Esophagus_Muscularis-male-asian_gtex	Esophagus_Muscularis	male	asian	gtex	5	4.343945	2.1054035000000004	1.6871785
Lung-male-unknown_gtex	Lung	male	unknown	gtex	3	4.751825	2.0665625	1.69992
Cells_Culturedfibroblasts-female-white_gtex	Cells_Culturedfibroblasts	female	white	gtex	150	4.871922	1.9002364999999999	1.6239445
Stomach-male-not_reported_tcga	Stomach	male	not_reported	tcga	35	4.3289550000000006	1.7770759999999999	1.459475
Testis-male-unknown_gtex	Testis	male	unknown	gtex	6	4.2686835	2.2455584999999996	1.6335775
Cells_Culturedfibroblasts-male-black_or_african_american_gtex	Cells_Culturedfibroblasts	male	black_or_african_american	gtex	40	4.875095	1.8818535	1.6179315
Heart_AtrialAppendage-female-white_gtex	Heart_AtrialAppendage	female	white	gtex	111	3.364662	1.8518685	1.5723770000000001
